Country,Region,Continent,incidence,population
Albania,Europe,Southern Europe,302,2866378
Austria,Europe,Western Europe,2159,9066712
Belarus,Europe,Eastern Europe,1354,9432804
Belgium,Europe,Western Europe,2338,11668276
Bosnia Herzegovina,Europe,Southern Europe,502,3249313
Bulgaria,Europe,Eastern Europe,1280,6844591
Croatia,Europe,Southern Europe,801,4059285
Cyprus,Europe,Southern Europe,215,1223390
Czechia,Europe,Eastern Europe,2479,10736782
Denmark,Europe,Northern Europe,1354,5834952
Estonia,Europe,Northern Europe,302,1321905
Finland,Europe,Northern Europe,1497,5554956
France (metropolitan),Europe,Western Europe,15895,65584514
Germany,Europe,Western Europe,21869,83883587
Greece,Europe,Southern Europe,2305,10316641
Hungary,Europe,Eastern Europe,2419,9606252
Iceland,Europe,Northern Europe,56,345400
Ireland,Europe,Northern Europe,694,5020203
Italy,Europe,Southern Europe,15710,60262779
Latvia,Europe,Northern Europe,454,1848834
Lithuania,Europe,Northern Europe,605,2661704
Luxembourg,Europe,Western Europe,95,642367
Malta,Europe,Southern Europe,107,444030
Moldova,Europe,Eastern Europe,548,4013176
Montenegro,Europe,Southern Europe,76,627951
North Macedonia,Europe,Southern Europe,253,2081305
Norway,Europe,Northern Europe,1166,5511372
Poland,Europe,Eastern Europe,5881,37739779
Portugal,Europe,Southern Europe,2158,10140568
Romania,Europe,Eastern Europe,3389,19031330
Russian Federation,Europe,Eastern Europe,21842,145805944
Serbia,Europe,Southern Europe,1433,8653017
Slovakia,Europe,Eastern Europe,1008,5460193
Slovenia,Europe,Southern Europe,458,2078031
Spain,Europe,Southern Europe,8823,46719147
Sweden,Europe,Northern Europe,2413,10218972
Switzerland,Europe,Western Europe,1958,8773640
The Netherlands,Europe,Western Europe,3490,1721149
Ukraine,Europe,Eastern Europe,5514,43192120
United Kingdom,Europe,Northern Europe,11351,68497913
